0,0,845.9798220657951,449.795339499408,685.3017554588051
0,1,1024.5886928362265,469.48549038183575,421.91284656123713
1,0,888.7133625961247,449.78271088833344,723.537608784612
1,1,1066.5869608414114,468.02382958295254,457.5216126145235
2,0,931.4469031264543,449.7700822772589,761.7734621104188
2,1,1108.5852288465962,466.56216878406934,493.1303786678099
3,0,974.180443656784,449.75745366618435,800.0093154362256
3,1,1150.583496851781,465.10050798518614,528.7391447210963
4,0,1016.9139841871136,449.7448250551098,838.2451687620324
4,1,1192.581764856966,463.63884718630294,564.3479107743826
5,0,1059.6475247174433,449.73219644403525,876.4810220878393
5,1,1234.5800328621508,462.17718638741974,599.956676827669
6,0,1102.381065247773,449.7195678329607,914.7168754136461
6,1,1276.5783008673357,460.71552558853654,635.5654428809553
7,0,1145.1146057781027,449.70693922188616,952.9527287394529
7,1,1318.5765688725205,459.25386478965333,671.1742089342416
8,0,1187.8481463084324,449.6943106108116,991.1885820652598
8,1,1360.5748368777054,457.79220399077013,706.782974987528
9,0,1230.5816868387622,449.68168199973707,1029.4244353910667
9,1,1402.5731048828902,456.33054319188693,742.3917410408143
